,x,y,z,TAC_Reading,time
0,-0.025261922,0.13942909,-0.010982378,0.005042573,0
1,-0.007130686,0.055214986,0.056461234,0.0020127676,10
2,0.06088011,-0.08819533,-0.16381301,0.0077023623,20
3,-0.012497726,-0.04389343,-0.014407219,0.01131833,30
4,0.08463565,-0.004607873,0.06711005,0.00798428,40
5,-0.04383331,0.014543042,-0.16947097,0.097321816,50
6,0.00029599253,0.009984096,0.015736941,0.08314957,60
7,0.024428165,0.120065145,0.036716197,0.070126206,70
8,-0.020481648,0.06060403,-0.0069342065,0.07002275,80
9,0.0033833424,0.027652377,-0.007390593,0.07215772,90
10,0.018338026,0.023885088,0.0005646635,0.07340855,100
11,0.025005968,0.015606159,0.008774133,0.07409036,110
12,0.028545335,0.009688149,0.012980521,0.07441864,120
13,0.031329233,0.009374009,0.03268176,0.07479666,130
14,0.03593511,0.0103312945,0.039960194,0.07466448,140
15,0.04329536,0.010647618,0.025157195,0.07380922,150
16,0.023619134,-0.0010182095,0.016846556,0.07378841,160
17,-0.002266273,-0.033965524,0.019665198,0.07572014,170
18,-0.00751016,-0.047957253,0.026817739,0.07819714,180
19,-0.00754738,-0.05600952,0.028292753,0.081185736,190
20,-0.004944521,-0.055714715,0.0277053,0.08417317,200
21,-0.0016041179,-0.050231967,0.026602635,0.08685043,210
22,0.0014356793,-0.04482489,0.025895752,0.08925586,220
23,0.004073017,-0.039983466,0.025223454,0.091390364,230
24,0.006397096,-0.035343368,0.024632124,0.093225986,240
25,0.008326413,-0.031629972,0.024036914,0.094838165,250
26,0.009962611,-0.028228432,0.023528004,0.096198194,260
27,0.011292931,-0.025582425,0.02303493,0.097374886,270
28,0.012382534,-0.023226952,0.022626542,0.09835785,280
29,0.013243125,-0.021459688,0.022242071,0.09920372,290
30,0.013929425,-0.01993118,0.021921922,0.099912055,300
31,0.014456934,-0.018814594,0.021621812,0.10052488,310
32,0.014868673,-0.017857928,0.02136954,0.101043604,320
33,0.015177608,-0.017173473,0.021125993,0.10149837,330
34,0.015413052,-0.016594427,0.020915575,0.10189174,340
35,0.0155848125,-0.01617726,0.020706937,0.10224281,350
36,0.015711233,-0.015832014,0.0205164,0.10255525,360
37,0.015800223,-0.015567075,0.020327477,0.102839105,370
38,0.015862117,-0.015349151,0.020147929,0.1030985,380
39,0.01590271,-0.015172893,0.019970803,0.10333915,390
40,0.01592907,-0.015017373,0.019802082,0.1035633,400
41,0.015944147,-0.014882229,0.019638857,0.10377474,410
42,0.015953531,-0.0147508355,0.019487265,0.10397392,420
43,0.015958382,-0.014626581,0.019344727,0.10416335,430
44,0.015962072,-0.014503925,0.01921657,0.104343444,440
45,0.015965234,-0.014385116,0.019099887,0.10451565,450
46,0.015969874,-0.014267285,0.018998718,0.1046801,460
47,0.015975779,-0.014153922,0.018910319,0.10483765,470
