,x,y,z,TAC_Reading,time
0,-0.025282377,0.1394829,-0.010994175,0.005041807,0
1,-0.0066622226,0.054918256,0.056925055,0.0020114142,10
2,0.060999148,-0.088255584,-0.16390237,0.007710123,20
3,-0.0131843425,-0.043868847,-0.013953742,0.011344221,30
4,0.08640228,-0.006107753,0.06676339,0.008006978,40
5,-0.04392214,0.01485604,-0.16933458,0.09735599,50
6,0.00020984912,0.009077542,0.014428062,0.08338282,60
7,0.036875308,0.09371469,0.043851607,0.07182463,70
8,-0.027977336,0.073972926,-0.012480504,0.072219715,80
9,0.011256027,0.017677099,-0.0021461842,0.074128084,90
10,0.013480467,0.020829314,-0.008586831,0.07528544,100
11,0.023415849,0.0160975,0.00050809997,0.075846,110
12,0.026183086,0.013621067,0.0026261618,0.07614924,120
13,0.031037273,0.012051447,0.006003328,0.07616582,130
14,0.030943327,0.008205027,0.008354594,0.07618751,140
15,0.033036917,0.0066987895,0.011351167,0.07607158,150
16,0.032492325,0.004908506,0.01337905,0.07591855,160
17,0.031832807,0.004118414,0.017437404,0.075744435,170
18,0.03267115,0.005811701,0.031283993,0.07566962,180
19,0.040558703,0.009672662,0.036426913,0.07515093,190
20,0.04073204,0.006941722,0.021236533,0.074396625,200
21,0.02255452,-0.002728059,0.01428229,0.07433496,210
22,-0.002513632,-0.035458654,0.019472882,0.07625111,220
23,-0.0068645594,-0.049185313,0.026040716,0.07862596,230
24,-0.00653306,-0.05512292,0.02722645,0.081429034,240
25,-0.004522239,-0.055909652,0.026441995,0.084424004,250
26,-0.0013475856,-0.050006118,0.025273716,0.08703252,260
27,0.0015378493,-0.04433404,0.024480533,0.089405395,270
28,0.004046657,-0.039563395,0.02383167,0.09152055,280
29,0.006340581,-0.034766797,0.023275407,0.09333684,290
30,0.008251341,-0.030914249,0.022768112,0.094922334,300
31,0.009870774,-0.027621347,0.022364734,0.09627626,310
32,0.011225661,-0.02484776,0.022000303,0.09742781,320
33,0.01231906,-0.022626713,0.021718293,0.09840838,330
34,0.013207592,-0.020820227,0.021482505,0.09923933,340
35,0.013913714,-0.019399736,0.021286149,0.09994772,350
36,0.01446906,-0.018289408,0.021129224,0.100554995,360
37,0.014907474,-0.01739945,0.020995412,0.10107455,370
38,0.015242663,-0.01676527,0.02087275,0.1015317,380
39,0.015507104,-0.016218862,0.020774491,0.101927,390
40,0.015705222,-0.015851578,0.020668313,0.10228288,400
41,0.015860006,-0.015536753,0.020577164,0.10259929,410
42,0.015975673,-0.015305494,0.020479066,0.102888234,420
43,0.016064137,-0.015115185,0.02038501,0.103152625,430
44,0.016130563,-0.014960218,0.020288205,0.10339817,440
45,0.016181912,-0.014821651,0.020193987,0.103627,450
46,0.01622124,-0.014697984,0.020100899,0.10384229,460
47,0.016252344,-0.014580838,0.0200125,0.10404571,470
48,0.016277965,-0.014467083,0.019928785,0.10423856,480
49,0.016299685,-0.0143588055,0.019851698,0.10442238,490
50,0.01631972,-0.014252158,0.019782528,0.10459759,500
51,0.016338382,-0.01415089,0.019720793,0.10476522,510
52,0.016356623,-0.014054643,0.019667137,0.10492561,520
53,0.016374547,-0.013966253,0.019620433,0.10507956,530
54,0.016392367,-0.013887123,0.019580515,0.10522758,540
55,0.016410397,-0.013816471,0.019546254,0.10536991,550
56,0.016428215,-0.013755697,0.019516356,0.10550714,560
57,0.016446142,-0.013702162,0.019490499,0.10563905,570
58,0.016463643,-0.013656776,0.01946755,0.10576607,580
59,0.016480936,-0.013619804,0.019446703,0.10588859,590
60,0.016497912,-0.013588634,0.019427309,0.10600656,600
61,0.01651457,-0.01356154,0.019409208,0.106119975,610
62,0.016530387,-0.013539761,0.019391917,0.106229395,620
63,0.016546203,-0.013521046,0.019374946,0.106334634,630
64,0.016561385,-0.013504288,0.019358302,0.10643591,640
65,0.01657604,-0.013489388,0.019341493,0.106533326,650
66,0.01659017,-0.013476379,0.019324524,0.10662718,660
67,0.016603561,-0.013464609,0.019307071,0.10671764,670
68,0.016616425,-0.0134531325,0.019288648,0.10680477,680
69,0.016628338,-0.013442145,0.019269578,0.1068889,690
70,0.016639726,-0.013430342,0.01924873,0.10696994,700
