,x,y,z,TAC_Reading,time
0,0.011005188,0.015933894,-0.004264246,0.0010155224,0
1,-0.08963957,0.017197037,-0.1598799,0.002996952,10
2,-0.14160053,0.025218101,-0.116367996,0.025014134,20
3,-0.019325618,-0.038886603,-0.013613875,0.027999092,30
4,-0.003290715,0.007817464,-0.021618746,0.025771827,40
5,0.038738303,-0.007320816,0.0009501036,0.024068791,50
6,0.033796288,0.0056660916,0.0014908509,0.024180869,60
7,0.034766007,0.0059945765,0.0070426427,0.024172224,70
8,0.029127883,0.011376284,0.0023481925,0.024347648,80
9,0.026337871,0.011749828,0.003175313,0.024426736,90
10,0.021402074,0.017525522,-0.003979166,0.02458465,100
11,0.019688064,0.016319403,-0.0022736946,0.024644418,110
12,0.014887863,0.02200048,-0.010821414,0.02482562,120
13,0.015308352,0.01885045,-0.0076503004,0.024884483,130
14,0.010691509,0.02450678,-0.017183034,0.02511875,140
15,0.012789422,0.0204932,-0.0129941,0.025213538,150
16,0.008379344,0.026212554,-0.022892557,0.025496377,160
17,0.011024695,0.022301806,-0.018057669,0.025623832,170
18,0.006716259,0.027511952,-0.027394691,0.025897952,180
19,0.0097325435,0.023979606,-0.022083538,0.026025517,190
20,0.005912605,0.028484887,-0.030522494,0.026267163,200
21,0.008964845,0.025445415,-0.02488828,0.026379203,210
22,0.0055489475,0.029341524,-0.032239925,0.026587017,220
23,0.0082726395,0.026753748,-0.026623812,0.026679652,230
24,0.0051689465,0.030057572,-0.032811217,0.026859783,240
25,0.007445684,0.02782606,-0.027592503,0.026940007,250
26,0.0046154987,0.030565249,-0.032654293,0.027100418,260
27,0.006458145,0.02861664,-0.028074909,0.027177224,270
28,0.0038510682,0.030836187,-0.03216639,0.027325327,280
29,0.0053501953,0.029079845,-0.028310373,0.027406503,290
30,0.0029434522,0.030816201,-0.03160528,0.027549226,300
31,0.004144715,0.029179515,-0.028474893,0.027640754,310
32,0.00197911,0.030408815,-0.031110916,0.027784348,320
33,0.0028812436,0.028849464,-0.028680947,0.027891684,330
34,0.0009951564,0.029519737,-0.030750848,0.028041545,340
35,0.0015867729,0.02798034,-0.028993662,0.02816989,350
36,-1.5895092e-05,0.02803518,-0.030570814,0.028331742,360
37,0.0002458037,0.026425067,-0.029434534,0.028486444,370
38,-0.0011281677,0.0258201,-0.030575017,0.028667364,380
39,-0.0012659761,0.024037642,-0.029954758,0.02885472,390
40,-0.0025777386,0.02276061,-0.03069978,0.029065788,400
41,-0.0032804874,0.020741284,-0.030429568,0.029298386,410
42,-0.004875459,0.018948294,-0.030824704,0.029563047,420
43,-0.006451978,0.01699274,-0.030761192,0.02987283,430
44,-0.008844065,0.015718611,-0.03101702,0.030241953,440
45,-0.01161921,0.015888281,-0.031385005,0.030693553,450
46,-0.015058093,0.019087512,-0.032333817,0.031243006,460
47,-0.018736955,0.02665662,-0.034044623,0.031893816,470
48,-0.022494473,0.037892338,-0.036277104,0.03260557,480
49,-0.025800291,0.04904123,-0.038278807,0.033289857,490
50,-0.028312473,0.056395996,-0.039401837,0.033862747,500
51,-0.029943189,0.05981798,-0.039760128,0.03431672,510
52,-0.030941904,0.060915884,-0.039638758,0.034688484,520
53,-0.031581916,0.06087063,-0.039233115,0.03501225,530
54,-0.032019645,0.060233027,-0.038586836,0.03530891,540
55,-0.032370597,0.059233487,-0.03773984,0.035590313,550
56,-0.032661293,0.05797931,-0.03667386,0.03586457,560
