,x,y,z,TAC_Reading,time
0,-0.025425931,0.13966678,-0.010798465,0.005011312,0
1,-0.006691429,0.054864198,0.056703,0.0019983726,10
2,0.06041407,-0.088241495,-0.16355556,0.007680941,20
3,-0.00841261,-0.044599045,-0.016267674,0.011220738,30
4,0.08375608,-0.0019217631,0.06632527,0.00794213,40
5,-0.04293803,0.015020788,-0.16783014,0.097288154,50
6,0.00048609846,0.010384537,0.016803246,0.08309465,60
7,0.017869247,0.13765733,0.02222785,0.070565805,70
8,-0.015406252,0.052741386,-0.00809586,0.07046787,80
9,-0.00052421493,0.042010576,-0.014574163,0.07235601,90
10,0.02044659,0.023215272,0.005677684,0.07355865,100
11,0.026079018,0.014086684,0.011284099,0.074169524,110
12,0.029624393,0.012085355,0.030697674,0.074711464,120
13,0.03523405,0.012114634,0.040318,0.07473424,130
14,0.041850008,0.0112251,0.029271465,0.07403305,140
15,0.032524064,0.007255502,0.021492362,0.07364501,150
16,0.00086546683,-0.027816383,0.016202217,0.0748839,160
17,-0.007496242,-0.047715332,0.025607763,0.07775093,170
18,-0.0073603317,-0.05007074,0.028793907,0.080222584,180
19,-0.0056991456,-0.05479362,0.029156398,0.08325024,190
20,-0.002109591,-0.049308818,0.02843885,0.08591019,200
21,0.001073181,-0.044239063,0.027796611,0.08837313,210
22,0.0038970395,-0.03934505,0.027288023,0.090533614,220
23,0.006359138,-0.034935,0.026748084,0.09243114,230
24,0.008442502,-0.031198459,0.026183419,0.09409412,240
25,0.010184137,-0.027972557,0.025644772,0.095529936,250
26,0.011603658,-0.025364306,0.02510564,0.096776284,260
27,0.012750304,-0.023119489,0.024609499,0.09783849,270
28,0.013646006,-0.021423073,0.02412386,0.09876103,280
29,0.014350968,-0.019943375,0.02368024,0.09954246,290
30,0.014876686,-0.018902004,0.0232426,0.10022748,300
31,0.015278829,-0.017955577,0.02284714,0.1008088,310
32,0.015561616,-0.017317517,0.022446185,0.101323694,320
33,0.015765535,-0.016731068,0.022078684,0.10176764,330
34,0.015895013,-0.016321726,0.021703586,0.10216428,340
35,0.015976623,-0.015952421,0.021354994,0.10251349,350
36,0.016015213,-0.015680179,0.021005755,0.102829084,360
37,0.016028183,-0.015444485,0.020682212,0.10311329,370
38,0.016018482,-0.015271162,0.020364486,0.10337487,380
39,0.015999397,-0.01511401,0.020077305,0.103614315,390
40,0.015970612,-0.014996995,0.019801598,0.103837684,400
41,0.015941406,-0.014891554,0.019557567,0.10404545,410
42,0.01591009,-0.014811609,0.019328564,0.10424184,420
43,0.015884468,-0.014730001,0.019133016,0.10442599,430
44,0.015860219,-0.01466238,0.018954115,0.10460139,440
45,0.015844824,-0.0145846205,0.018808665,0.10476664,450
46,0.015832908,-0.014512598,0.01868051,0.10492461,460
47,0.015829746,-0.014432783,0.018582087,0.10507465,470
48,0.015831854,-0.0143484045,0.018501444,0.10521766,480
49,0.015841661,-0.014258222,0.018446011,0.105353706,490
50,0.015855895,-0.014171691,0.018405287,0.10548397,500
51,0.015875928,-0.014084377,0.018383145,0.10560819,510
52,0.015899125,-0.014001172,0.018372156,0.10572712,520
53,0.0159258,-0.013924423,0.018372964,0.10584106,530
54,0.01595427,-0.013856965,0.018379752,0.10595045,540
55,0.015983898,-0.01379743,0.018392842,0.10605552,550
56,0.016013632,-0.013748198,0.01840771,0.10615689,560
57,0.016043365,-0.013706009,0.018424194,0.10625451,570
58,0.01607236,-0.013670112,0.018440679,0.10634867,580
59,0.016100302,-0.01363992,0.018456517,0.10643968,590
